1.00000000	0.00000000
0.99605735	0.00055681
0.98429158	0.00220264
0.96488824	0.00486623
0.93815334	0.00843693
0.90450850	0.01277464
0.86448431	0.01772019
0.81871199	0.02310368
0.76791340	0.02874916
0.71288965	0.03447529
0.65450850	0.04009273
0.59369066	0.04540065
0.53139526	0.05018478
0.46860474	0.05421975
0.40630934	0.05727711
0.34549150	0.05913940
0.28711035	0.05961828
0.23208660	0.05857399
0.18128801	0.05593181
0.13551569	0.05169178
0.09549150	0.04592861
0.06184666	0.03878062
0.03511176	0.03042863
0.01570842	0.02106812
0.00394265	0.01087920
0.00000000	0.00000000
0.00394265	-0.01087920
0.01570842	-0.02106812
0.03511176	-0.03042863
0.06184666	-0.03878062
0.09549150	-0.04592861
0.13551569	-0.05169178
0.18128801	-0.05593181
0.23208660	-0.05857399
0.28711035	-0.05961828
0.34549150	-0.05913940
0.40630934	-0.05727711
0.46860474	-0.05421975
0.53139526	-0.05018478
0.59369066	-0.04540064
0.65450850	-0.04009273
0.71288965	-0.03447529
0.76791340	-0.02874916
0.81871199	-0.02310368
0.86448431	-0.01772019
0.90450850	-0.01277464
0.93815334	-0.00843693
0.96488824	-0.00486623
0.98429158	-0.00220264
0.99605735	-0.00055681
1.00000000	0.00000000
